file_name	submitted_name	run_date
HMY3CBGX7_18799546_S4_L004_R1_001.fastq.gz	INP_1	10-APR-19
HMY3CBGX7_18799546_S4_L002_R1_001.fastq.gz	INP_1	10-APR-19
HMY3CBGX7_18799546_S4_L003_R1_001.fastq.gz	INP_1	10-APR-19
HMY3CBGX7_18799546_S4_L001_R1_001.fastq.gz	INP_1	10-APR-19
HMY3CBGX7_18799548_S1_L003_R1_001.fastq.gz	INP_2	10-APR-19
HMY3CBGX7_18799548_S1_L004_R1_001.fastq.gz	INP_2	10-APR-19
HMY3CBGX7_18799548_S1_L002_R1_001.fastq.gz	INP_2	10-APR-19
HMY3CBGX7_18799548_S1_L001_R1_001.fastq.gz	INP_2	10-APR-19
HMY3CBGX7_18799550_S3_L004_R1_001.fastq.gz	H3K27ac_1	10-APR-19
HMY3CBGX7_18799550_S3_L003_R1_001.fastq.gz	H3K27ac_1	10-APR-19
HMY3CBGX7_18799550_S3_L002_R1_001.fastq.gz	H3K27ac_1	10-APR-19
HMY3CBGX7_18799550_S3_L001_R1_001.fastq.gz	H3K27ac_1	10-APR-19
HMY3CBGX7_18799552_S2_L004_R1_001.fastq.gz	H3K27ac_2	10-APR-19
HMY3CBGX7_18799552_S2_L002_R1_001.fastq.gz	H3K27ac_2	10-APR-19
HMY3CBGX7_18799552_S2_L001_R1_001.fastq.gz	H3K27ac_2	10-APR-19
HMY3CBGX7_18799552_S2_L003_R1_001.fastq.gz	H3K27ac_2	10-APR-19
HTNM2BGX7_18799554_S3_L004_R1_001.fastq.gz	MITF_1	18-Apr-19
HTNM2BGX7_18799554_S3_L001_R1_001.fastq.gz	MITF_1	18-Apr-19
HTNM2BGX7_18799554_S3_L002_R1_001.fastq.gz	MITF_1	18-Apr-19
HTNM2BGX7_18799554_S3_L003_R1_001.fastq.gz	MITF_1	18-Apr-19
HTNM2BGX7_18799538_S1_L004_R1_001.fastq.gz	PAX6_1	18-Apr-19
HTNM2BGX7_18799538_S1_L003_R1_001.fastq.gz	PAX6_1	18-Apr-19
HTNM2BGX7_18799538_S1_L001_R1_001.fastq.gz	PAX6_1	18-Apr-19
HTNM2BGX7_18799538_S1_L002_R1_001.fastq.gz	PAX6_1	18-Apr-19
HTNM2BGX7_18799542_S2_L002_R1_001.fastq.gz	SOX10_1	18-Apr-19
HTNM2BGX7_18799542_S2_L001_R1_001.fastq.gz	SOX10_1	18-Apr-19
HTNM2BGX7_18799542_S2_L003_R1_001.fastq.gz	SOX10_1	18-Apr-19
HTNM2BGX7_18799542_S2_L004_R1_001.fastq.gz	SOX10_1	18-Apr-19
HTNYHBGX7_18799536_S2_L002_R1_001.fastq.gz	MITF_2	12-Apr-19
HTNYHBGX7_18799536_S2_L004_R1_001.fastq.gz	MITF_2	12-Apr-19
HTNYHBGX7_18799536_S2_L003_R1_001.fastq.gz	MITF_2	12-Apr-19
HTNYHBGX7_18799536_S2_L001_R1_001.fastq.gz	MITF_2	12-Apr-19
